Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
WEC,WEC ENERGY GROUP INC,Equity,0.79,98.22,"2,696,059.00","264,806,914.98","264,806,914.98",Utilities,BYY8XK8,US92939U1060,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.78,145.73,"1,783,614.00","259,926,068.22","259,926,068.22",Health Care,2250870,US2358511028,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.77,167.36,"1,536,592.00","257,164,037.12","257,164,037.12",Real Estate,2131179,US0534841012,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.76,371,"684,548.00","253,967,308.00","253,967,308.00",Industrials,2522096,US5398301094,New York Stock Exchange Inc.
BKI,BLACK KNIGHT INC,Equity,0.75,63.48,"3,963,704.00","251,615,929.92","251,615,929.92",Information Technology,BDG75V1,US09215C1053,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.75,190.16,"1,310,850.00","249,271,236.00","249,271,236.00",Financials,2965839,US12572Q1058,NASDAQ
WMT,WALMART INC,Equity,0.74,121.8,"2,022,880.00","246,386,784.00","246,386,784.00",Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Equity,0.72,69.42,"3,458,185.00","240,067,202.70","240,067,202.70",Real Estate,2319157,US29476L1070,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Equity,0.71,86.89,"2,715,129.00","235,917,558.81","235,917,558.81",Health Care,2085102,US0718131099,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.71,84.31,"2,796,990.00","235,814,226.90","235,814,226.90",Energy,2838555,US1667641005,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.71,96.61,"2,439,872.00","235,716,033.92","235,716,033.92",Financials,2567741,US5717481023,New York Stock Exchange Inc.
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Equity,0.7,6.07,"38,591,544.00","234,250,672.08","234,250,672.08",Financials,2113456,US0357104092,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.7,53.18,"4,400,017.00","233,992,904.06","233,992,904.06",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.7,100.34,"2,328,401.00","233,631,756.34","233,631,756.34",Financials,2019952,US0200021014,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.7,201.53,"1,159,240.00","233,621,637.20","233,621,637.20",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.7,164.14,"1,420,764.00","233,204,202.96","233,204,202.96",Real Estate,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
RE,EVEREST RE GROUP LTD,Equity,0.69,212.3,"1,079,642.00","229,207,996.60","229,207,996.60",Financials,2556868,BMG3223R1088,New York Stock Exchange Inc.
WRB,WR BERKLEY CORP,Equity,0.68,58.32,"3,883,404.00","226,480,121.28","226,480,121.28",Financials,2093644,US0844231029,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.68,41.2,"5,488,149.00","226,111,738.80","226,111,738.80",Information Technology,2198163,US17275R1023,NASDAQ
ECL,ECOLAB INC,Equity,0.67,179.86,"1,247,957.00","224,457,546.02","224,457,546.02",Materials,2304227,US2788651006,New York Stock Exchange Inc.
WU,WESTERN UNION,Equity,0.66,20.19,"10,988,643.00","221,860,702.17","221,860,702.17",Information Technology,B1F76F9,US9598021098,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.63,264.13,"791,752.00","209,125,455.76","209,125,455.76",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.61,104.5,"1,953,277.00","204,117,446.50","204,117,446.50",Communication,2270726,US2546871060,New York Stock Exchange Inc.
DG,DOLLAR GENERAL CORP,Equity,0.6,169.24,"1,189,953.00","201,387,645.72","201,387,645.72",Consumer Discretionary,B5B1S13,US2566771059,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.6,73.88,"2,710,969.00","200,286,389.72","200,286,389.72",Consumer Discretionary,2842255,US8552441094,NASDAQ
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.59,87.38,"2,235,302.00","195,320,688.76","195,320,688.76",Financials,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,0.58,193.84,"1,004,887.00","194,787,296.08","194,787,296.08",Financials,2073390,US0846707026,New York Stock Exchange Inc.
LHX,L3HARRIS TECHNOLOGIES INC,Equity,0.57,190.79,"1,001,509.00","191,077,902.11","191,077,902.11",Industrials,BK9DTN5,US5024311095,New York Stock Exchange Inc.
SYK,STRYKER CORP,Equity,0.57,182.72,"1,035,820.00","189,265,030.40","189,265,030.40",Health Care,2853688,US8636671013,New York Stock Exchange Inc.
AJG,ARTHUR J GALLAGHER,Equity,0.57,86.84,"2,173,591.00","188,754,642.44","188,754,642.44",Financials,2359506,US3635761097,New York Stock Exchange Inc.
TJX,TJX INC,Equity,0.56,48.81,"3,838,801.00","187,371,876.81","187,371,876.81",Consumer Discretionary,2989301,US8725401090,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,0.55,43.13,"4,250,837.00","183,338,599.81","183,338,599.81",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
AFL,AFLAC INC,Equity,0.55,38.08,"4,811,147.00","183,208,477.76","183,208,477.76",Financials,2026361,US0010551028,New York Stock Exchange Inc.
CLX,CLOROX,Equity,0.55,184.21,"992,199.00","182,772,977.79","182,772,977.79",Consumer Staples,2204026,US1890541097,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.55,142.52,"1,282,301.00","182,753,538.52","182,753,538.52",Information Technology,2065308,US0530151036,NASDAQ
RNR,RENAISSANCERE HOLDING LTD,Equity,0.55,164.74,"1,106,086.00","182,216,607.64","182,216,607.64",Financials,2728429,BMG7496G1033,New York Stock Exchange Inc.
AGNC,AGNC INVESTMENT REIT CORP,Equity,0.53,12.21,"14,517,387.00","177,257,295.27","177,257,295.27",Financials,BYYHJL8,US00123Q1040,NASDAQ
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.53,52.34,"3,352,237.00","175,456,084.58","175,456,084.58",Consumer Staples,B8CKK03,US6092071058,NASDAQ
O,REALTY INCOME REIT CORP,Equity,0.52,56.68,"3,073,310.00","174,195,210.80","174,195,210.80",Real Estate,2724193,US7561091049,New York Stock Exchange Inc.
K,KELLOGG,Equity,0.51,62.74,"2,710,484.00","170,055,766.16","170,055,766.16",Consumer Staples,2486813,US4878361082,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,0.51,38,"4,464,760.00","169,660,880.00","169,660,880.00",Communication,2044545,US20030N1019,NASDAQ
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.51,86.31,"1,959,135.00","169,092,941.85","169,092,941.85",Utilities,2026242,US0255371017,New York Stock Exchange Inc.
APH,AMPHENOL CORP CLASS A,Equity,0.51,81.91,"2,058,488.00","168,610,752.08","168,610,752.08",Information Technology,2145084,US0320951017,New York Stock Exchange Inc.
HIG,HARTFORD FINANCIAL SERVICES GROUP,Equity,0.49,41.88,"3,907,832.00","163,660,004.16","163,660,004.16",Financials,2476193,US4165151048,New York Stock Exchange Inc.
TRV,TRAVELERS COMPANIES INC,Equity,0.49,109.74,"1,488,549.00","163,353,367.26","163,353,367.26",Financials,2769503,US89417E1091,New York Stock Exchange Inc.
ACGL,ARCH CAPITAL GROUP LTD,Equity,0.48,31,"5,181,599.00","160,629,569.00","160,629,569.00",Financials,2740542,BMG0450A1053,NASDAQ
PEAK,HEALTHPEAK PROPERTIES INC,Equity,0.48,28.35,"5,663,292.00","160,554,328.20","160,554,328.20",Real Estate,BJBLRK3,US42250P1030,New York Stock Exchange Inc.
MKC,MCCORMICK & CO NON-VOTING INC,Equity,0.47,154.3,"1,024,871.00","158,137,595.30","158,137,595.30",Consumer Staples,2550161,US5797802064,New York Stock Exchange Inc.
PGR,PROGRESSIVE CORP,Equity,0.47,80.39,"1,959,155.00","157,496,470.45","157,496,470.45",Financials,2705024,US7433151039,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.47,81.59,"1,925,803.00","157,126,266.77","157,126,266.77",Utilities,2542049,US25746U1097,New York Stock Exchange Inc.
BRO,BROWN & BROWN INC,Equity,0.44,39.03,"3,783,302.00","147,662,277.06","147,662,277.06",Financials,2692687,US1152361010,New York Stock Exchange Inc.
MKL,MARKEL CORP,Equity,0.43,"1,005.40","143,598.00","144,373,429.20","144,373,429.20",Financials,2566436,US5705351048,New York Stock Exchange Inc.
